[INFO ] 2014-12-01 10:16:45,420(1029) --> [main] org.hibernate.cfg.Configuration.getConfigurationInputStream(Configuration.java:2029): HHH000040: Configuration resource: /hibernate.cfg.xml  
[WARN ] 2014-12-01 10:16:45,422(1031) --> [main] org.hibernate.internal.util.xml.DTDEntityResolver.resolveEntity(DTDEntityResolver.java:74): HHH000223: Recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!  
[INFO ] 2014-12-01 10:16:45,424(1033) --> [main] org.hibernate.cfg.Configuration.addResource(Configuration.java:728): HHH000221: Reading mappings from resource: hibernate/test/com/basehibernate/model/UserModel.hbm.xml  
[WARN ] 2014-12-01 10:16:45,426(1035) --> [main] org.hibernate.internal.util.xml.DTDEntityResolver.resolveEntity(DTDEntityResolver.java:74): HHH000223: Recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!  
[INFO ] 2014-12-01 10:16:45,449(1058) --> [main] org.hibernate.cfg.Configuration.doConfigure(Configuration.java:2151): HHH000041: Configured SessionFactory: null  
[INFO ] 2014-12-01 10:16:45,450(1059) --> [main] org.hibernate.service.jdbc.connections.internal.DriverManagerConnectionProviderImpl.configure(DriverManagerConnectionProviderImpl.java:98): HHH000402: Using Hibernate built-in connection pool (not for production use!)  
[INFO ] 2014-12-01 10:16:45,450(1059) --> [main] org.hibernate.service.jdbc.connections.internal.DriverManagerConnectionProviderImpl.configure(DriverManagerConnectionProviderImpl.java:134): HHH000115: Hibernate connection pool size: 20  
[INFO ] 2014-12-01 10:16:45,450(1059) --> [main] org.hibernate.service.jdbc.connections.internal.DriverManagerConnectionProviderImpl.configure(DriverManagerConnectionProviderImpl.java:137): HHH000006: Autocommit mode: false  
[INFO ] 2014-12-01 10:16:45,450(1059) --> [main] org.hibernate.service.jdbc.connections.internal.DriverManagerConnectionProviderImpl.configure(DriverManagerConnectionProviderImpl.java:151): HHH000401: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://127.0.0.1/hibernate_test]  
[INFO ] 2014-12-01 10:16:45,451(1060) --> [main] org.hibernate.service.jdbc.connections.internal.DriverManagerConnectionProviderImpl.configure(DriverManagerConnectionProviderImpl.java:156): HHH000046: Connection properties: {user=root, password=****}  
[WARN ] 2014-12-01 10:16:45,453(1062) --> [main] org.hibernate.engine.jdbc.internal.JdbcServicesImpl.configure(JdbcServicesImpl.java:169): HHH000342: Could not obtain connection to query metadata : Access denied for user 'root'@'localhost' (using password: YES)  
[INFO ] 2014-12-01 10:16:45,454(1063) --> [main] org.hibernate.dialect.Dialect.<init>(Dialect.java:130): HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect  
[INFO ] 2014-12-01 10:16:45,454(1063) --> [main] org.hibernate.engine.jdbc.internal.LobCreatorBuilder.useContextualLobCreation(LobCreatorBuilder.java:85): HHH000422: Disabling contextual LOB creation as connection was null  
[INFO ] 2014-12-01 10:16:45,455(1064) --> [main] org.hibernate.engine.transaction.internal.TransactionFactoryInitiator.initiateService(TransactionFactoryInitiator.java:68): HHH000399: Using default transaction strategy (direct JDBC transactions)  
[INFO ] 2014-12-01 10:16:45,456(1065) --> [main] org.hibernate.hql.internal.ast.ASTQueryTranslatorFactory.<init>(ASTQueryTranslatorFactory.java:48): HHH000397: Using ASTQueryTranslatorFactory  
[INFO ] 2014-12-01 10:16:45,469(1078) --> [main] org.hibernate.cache.spi.UpdateTimestampsCache.<init>(UpdateTimestampsCache.java:61): HHH000250: Starting update timestamps cache at region: org.hibernate.cache.spi.UpdateTimestampsCache  
[WARN ] 2014-12-01 10:16:45,469(1078) --> [main] org.hibernate.cache.ehcache.AbstractEhcacheRegionFactory.getCache(AbstractEhcacheRegionFactory.java:180): HHH020003: Could not find a specific ehcache configuration for cache named [org.hibernate.cache.spi.UpdateTimestampsCache]; using defaults.  
[INFO ] 2014-12-01 10:16:45,470(1079) --> [main] org.hibernate.cache.internal.StandardQueryCache.<init>(StandardQueryCache.java:86): HHH000248: Starting query cache at region: org.hibernate.cache.internal.StandardQueryCache  
[WARN ] 2014-12-01 10:16:45,471(1080) --> [main] org.hibernate.cache.ehcache.AbstractEhcacheRegionFactory.getCache(AbstractEhcacheRegionFactory.java:180): HHH020003: Could not find a specific ehcache configuration for cache named [org.hibernate.cache.internal.StandardQueryCache]; using defaults.  
[WARN ] 2014-12-01 10:16:45,473(1082) --> [main] org.hibernate.cache.ehcache.AbstractEhcacheRegionFactory.getCache(AbstractEhcacheRegionFactory.java:180): HHH020003: Could not find a specific ehcache configuration for cache named [hibernate.test.com.basehibernate.model.UserModel]; using defaults.  
[WARN ] 2014-12-01 10:16:45,532(1141) --> [main] org.hibernate.engine.jdbc.spi.SqlExceptionHelper.logExceptions(SqlExceptionHelper.java:145): SQL Error: 1045, SQLState: 28000  
[ERROR] 2014-12-01 10:16:45,532(1141) --> [main] org.hibernate.engine.jdbc.spi.SqlExceptionHelper.logExceptions(SqlExceptionHelper.java:147): Access denied for user 'root'@'localhost' (using password: YES)  
